Geographical Area (GA),Total,Total population,No. of trees that can be planted (21kg = 1 tree),Grass Land Area in KM^2 (1000m^2=1/44 tons of CO2)
1841.0,1406.17,36842.0,-32995434.6,-188.97
3736.0,3070.53,105597.0,-67931845.62,-389.06
2672.0,2266.08,238142.0,-23904056.88,-136.91
8249.0,6742.78,380581.0,-124831337.09,-714.94
16105.0,5721.32,2741239.0,210276356.86,1204.31
19130.0,986.83,4081148.0,522078362.83,2990.09
15152.0,3200.43,4174064.0,473151092.61,2709.87
12805.0,4994.1,5154296.0,555342901.68,3180.6
11391.0,888.0,4887813.0,633427032.45,3627.81
217.0,18.68,3943323.0,530392618.29,3037.7
11823.0,1988.21,3776269.0,453238177.28,2595.82
13266.0,4479.14,2797370.0,252309493.88,1445.05
8727.0,650.18,4517398.0,590156584.53,3379.99
17658.0,2172.57,4053463.0,485441522.08,2780.26
18432.0,2301.05,4053028.0,481817075.12,2759.5
9699.0,739.31,3033288.0,387869019.26,2221.43
14240.0,414.44,3488809.0,458214854.33,2624.32
7956.0,1196.29,2551335.0,310297871.07,1777.16
17626.0,3303.84,3397448.0,365720968.68,2094.58
7493.0,770.42,5296741.0,691746596.07,3961.82
13076.0,1341.66,2963557.0,361762914.13,2071.91
5837.0,819.31,2703114.0,341195544.89,1954.12
11161.0,3756.43,4290589.0,473408062.73,2711.34
6539.0,1051.99,2344474.0,286452001.65,1640.59
12846.0,2953.45,3512576.0,390946130.08,2239.06
8507.0,1604.4,3936966.0,485526092.35,2780.74
259686.0,45352.05,81698308.0,9740771272.86,55788.05
4662.0,3986.76,148226.0,-94936321.42,-543.73
13029.0,9207.9,8004.0,-254710882.22,-1458.8
11556.0,10234.12,78690.0,-275699434.74,-1579.01
3603.0,2869.1,99214.0,-69112216.42,-395.82
9548.0,8370.12,92076.0,-222546232.13,-1274.58
11402.0,7587.6,145726.0,-195140370.39,-1117.62
13029.0,9207.9,54080.0,-249826295.75,-1430.82
9548.0,8370.12,83030.0,-223505212.28,-1280.08
3462.0,3184.91,176573.0,-69676377.15,-399.06
2172.0,1174.15,49977.0,-27289647.85,-156.3
2362.0,1860.99,111975.0,-39779952.7,-227.83
6590.0,5360.73,35320.0,-145039319.32,-830.68
7032.0,5553.0,83448.0,-145273528.59,-832.02
11556.0,10234.12,83947.0,-275142132.21,-1575.81
8325.0,7298.4,112274.0,-190660105.76,-1091.96
117876.0,94499.92,1362560.0,-2478338028.94,-14194.12
2457.0,559.67,950075.0,81957062.88,469.39
2282.0,115.18,1693622.0,170591423.69,977.02
1093.0,250.13,738804.0,68868930.28,394.43
3786.0,2222.34,1736617.0,116520399.88,667.34
1923.0,699.84,482162.0,30052628.82,172.12
1585.0,89.43,928500.0,92794392.19,531.46
3237.0,344.8,686133.0,60836678.72,348.43
2176.0,98.46,1949258.0,197287134.55,1129.92
3381.0,755.23,1326335.0,115138706.33,659.43
4888.0,4206.93,214102.0,-94790945.61,-542.89
1824.0,395.74,1008183.0,92469490.22,529.6
3502.0,669.91,1066888.0,90883991.31,520.52
1327.0,774.34,659296.0,46161236.08,264.38
2851.0,560.1,1092256.0,96534792.53,552.88
